"document_id","source_url","source_name","author_name","author_handle","author_bio","title","excerpt","published_at","country","platform","source_group_silver","author_identity_silver","communication_intent_silver","publication_archetype_silver","evidence_class_silver","authority_level_silver","evidence_role_silver","commercial_intent_silver","is_promotional_silver","is_secondary_voice_silver","medical_aesthetics_relevance_silver","theme_ids_silver","classification_confidence","ontology_confidence","evidence_quality_score","evidence_quality_band","review_priority","label_version","label_rationale","human_author_identity_gold","human_communication_intent_gold","human_publication_archetype_gold","human_evidence_class_gold","human_commercial_intent_gold","human_is_promotional_gold","human_medical_aesthetics_relevance_gold","reviewer_confidence","reviewer_id","adjudication_status","notes"
"""""""obsoQVR1FKuUeGHtIUMq8zwCHRU""""""","https://ie.pinterest.com/pin/812336851587130711/","Pinterest","Wong Eddie","ew13911119591","","Our powerful triple-action serum creates an instant matrix for skin regeneration and glow. A lightweight, non-greasy skin perfecting liquid that gives you skin that feels brand new, ready for any close up. Sophora and Licorice unify and even skin tone while natural fruit acids (5%) resurface skin, leaving it healthier, clearer and visibly more perfect, Provides clarity and radiance, even skin tone, increased hydration and rejuvenation. Results Skin left instantly refreshed, reducing the appearance of pigmented cells, dark spots and uneven skin tone for natural clarity and radiance. Formulated with a triple-action instant matrix impact on skin health and appearance. Sophora and Licorice roots leave skin looking instantly noticeably brighter and more uniform. Natural fruits acids (5%) refres","Our powerful triple-action serum creates an instant matrix for skin regeneration and glow. A lightweight, non-greasy skin perfecting liquid that gives you skin that feels brand new, ready for any close up. Sophora and Licorice unify and even skin tone while natural fruit acids (5","2026-01-21T03:35","","social network","other","unknown","unknown","social_post","unknown","unknown","noise_or_low_trust","none","no","no","theme_supported","natural_results|skin_quality_over_volume","0.36","0.24","27","very_low","high","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains first-person language | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""jX_VSoEyISR43Mt6OPK1O7-9SAo""""""","https://lifestyle.all80sz1063.com/story/187584/new-markets-new-treatments-skinspirit-and-nordstrom-expand-their-growing-partnership/","ALL 80'S Z 106.3 (KZLK-FM)","","","","New Markets, New Treatments: SkinSpirit and Nordstrom Expand Their Growing Partnership","... will offer its signature, award-winning facials, injectables including BOTOX ® Cosmetic and dermal fillers, microneedling with customized ...","2026-04-24T19:59","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.68","0.77","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""1771848667000_gdNC__o_Ojo69KJ30EhdAvbfrNUA""""""","https://twitter.com/SabaaXll46390/statuses/2025906262932619767","Twitter","Fot fot 4️⃣❤","@sabaaxll46390","","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-23T07:11","","social network","provider_hcp","provider","unknown","social_repost","provider_conversation","professional","noise_or_low_trust","none","no","yes","theme_supported","regenerative_biology","0.61","0.57","97","very_high","high","medical_aesthetics_silver_v1","Domain rule: twitter.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""1771869919000_zangTfEgKNiIYqB92O_UUgBmc5MA""""""","https://twitter.com/cxivmini/statuses/2025995400088576437","Twitter",". 𝐣𝐩𝐠","@cxivmini","","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-23T13:05","","social network","provider_hcp","provider","unknown","social_repost","provider_conversation","professional","noise_or_low_trust","none","no","yes","theme_supported","regenerative_biology","0.61","0.57","97","very_high","high","medical_aesthetics_silver_v1","Domain rule: twitter.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""eXPbDPKix_2M6CqCKQvJLGFhnyI""""""","https://europeanledger.com/article/880450722-medical-aesthetics-market-in-2029","European Ledger","","","","Medical Aesthetics Market In 2029","... anticipated in the facial medical aesthetic products medical aesthetics market, the non-invasive medical aesthetics market, the retail ...","2026-01-06T10:44","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","theme_supported","provider_led_trust","0.68","0.78","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence | Mapped from publication type: news_article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""AeYQCjtFXOyyCxh3L433QFGL-Gw""""""","http://money.mymotherlode.com/clarkebroadcasting.mymotherlode/article/pressadvantage-2026-1-6-perfect-esthetics-advances-aesthetic-medicine-standards-in-switzerland-with-technology-enhanced-patient-safety","MyMotherLode.com- FinancialContent","","","","Perfect Esthetics Advances Aesthetic Medicine Standards in Switzerland with Technology-Enhanced Patient Safety","... a specialized aesthetic medicine facility offering comprehensive non-surgical cosmetic treatments. The clinic combines medical expertise ...","2026-01-06T16:02","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","theme_supported","provider_led_trust","0.68","0.77","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | Contains clinical discussion language | News or reporting publication structure | No validated research indicators | Publication classified as news article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""07wM7Srzk9H4ESxuhMduvyIorz8""""""","https://smb.clemmonscourier.net/article/BENEVr-Partners-with-LaserAwayr-to-Launch-XThermar-The-First-High-Frequency-RF-and-Cryogen-Combination-Therapy-Device-in-the-US?storyId=69c52eae3971457808b0d103","The Clemmons Courier","","","","BENEV® Partners with LaserAway® to Launch XTherma®: The First High-Frequency RF and Cryogen Combination Therapy Device in the U.S.","... as a leader in the medical aesthetics market. Designed to deliver exceptional clinical outcomes, XTherma® offers a virtually pain-free, ...","2026-03-26T09:47","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","theme_supported","provider_led_trust","0.69","0.77","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | Contains clinical discussion language | News or reporting publication structure | No validated research indicators | Publication classified as news article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""jS5VJxPbE8fUqK1pJkPvV3cjx6g""""""","https://www.einpresswire.com/article/901512101/trim-tactics-reports-positive-patient-outcomes-with-combined-derive-hair-regeneration-and-scarlet-pro-rf-microneedling","EIN Presswire","","","","Trim Tactics Reports Positive Patient Outcomes with Combined Derive Hair Regeneration and Scarlet Pro RF Microneedling","Tactics Trim Tactics, a medical aesthetics and wellness clinic in Lubbock, reports encouraging patient results following introduction of ...","2026-03-24T16:39","United States","online news","company","brand","brand_announcement","press_release","corporate_pr","commercial","commercial_signal","none","yes","no","theme_supported","provider_led_trust","0.80","0.83","22","very_low","low","medical_aesthetics_silver_v1","Domain rule: einpresswire.com | No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | Contains clinical discussion language | Publication is classified as a press release | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""yt-SajU48vztuU""""""","https://www.youtube.com/watch?v=SajU48vztuU","Youtube","Healthcare Tips and Aesthetics Advice","","","Fillers Dallas | Real Cheek Filler Results in Dallas, TX",".com/post/cheek-fillers-dallas-tx Website: https://www.oneseventymedspa.com/post/cheek-fillers-dallas-tx #FillersDallas #CheekFillersDallas #DallasTXMedSpa #DermalFillers #CheekEnhancement #FacialFillers #BeforeAndAfter #AestheticTreatments #DallasBeauty #MedSpaDallas","2026-05-06T20:31","","social network","company","clinic","clinic_promotion","promotional_video","clinic_marketing","commercial","commercial_signal","none","yes","no","theme_supported","natural_results","0.71","0.75","15","very_low","medium","medical_aesthetics_silver_v1","Domain rule: youtube.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains first-person language | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""yt-I_yfATr6Qc8""""""","https://www.youtube.com/watch?v=I_yfATr6Qc8","Youtube","Letizia Ciruolo","","","May 22, 2026","? Fraxel 1550 at Venus Spa helps improve acne scars, fine lines, wrinkles, enlarged pores, uneven skin texture, stretch marks & overall skin quality with powerful collagen stimulation technology. This advanced fractional laser treatment targets damaged skin while helping support","2026-05-22T07:48","","social network","provider_hcp","provider","provider_education","educational_video","provider_conversation","professional","professional_interpretation","none","no","no","theme_supported","skin_quality_over_volume|collagen_biostimulation","0.73","0.80","96","very_high","medium","medical_aesthetics_silver_v1","Domain rule: youtube.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""yt-sF-7VCzwkaI""""""","https://www.youtube.com/watch?v=sF-7VCzwkaI","Youtube","Arna Dermatology & Aesthetics","","","Dermatologist Rates Dried Fruit Powders for Skin | 1–10 Scale| #shorts #orangepeelpowder #arnaclinic",", Hyderabad, Telangana 👉 Subscribe to Arna Dermatology & Aesthetics for trusted, science-backed dermatologist advice on skin, hair, laser & aesthetics. #Dermatologist #SkinDoctor #HairDoctor #AestheticClinic #CosmeticDermatology #HealthySkin #GlowingSkin #AcneTreatment #","2026-02-15T00:30","","social network","provider_hcp","provider","clinic_promotion","promotional_video","clinic_marketing","professional","commercial_signal","none","yes","no","theme_supported","provider_led_trust","0.77","0.75","19","very_low","low","medical_aesthetics_silver_v1","Domain rule: youtube.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata contains a professional healthcare credential or role | Publication format supports provider-authored commentary","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""oZuGci6QQ95OGzcjHkbS2QhvwTc""""""","https://theindustry.beauty/lookfantastic-search-trends-highlight-top-k-beauty-brands-and-products/?utm_source=rss&utm_medium=rss&utm_campaign=lookfantastic-search-trends-highlight-top-k-beauty-brands-and-products","The Industry Beauty","Sophie Smith","","","Lookfantastic search trends highlight top K-beauty brands and products","... -based skincare remains strong, largely due to its association with hydration and smoother-looking skin. While topical collagen does not ...","2026-05-05T02:45","United Kingdom","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","theme_supported","collagen_biostimulation","0.67","0.76","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence | Mapped from publication type: news_article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""-FriecL1AgTJzlHDkxgUt2H0EMo""""""","https://www.hartfordcitynewstimes.com/online_features/press_releases/anua-spotlights-its-newest-pdrn-product-innovation-with-launch-event-in-new-york-city/article_0b6d8cd9-0aca-5a05-99c1-0f06ebc5196e.html","Hartford City News Times","","","","ANUA SPOTLIGHTS ITS NEWEST PDRN PRODUCT INNOVATION WITH LAUNCH EVENT IN NEW YORK CITY","Anua's PDRN Collagen Glow Facial Serum Spray , the newest innovation within the brand's growing PDRN collection. Already recognized in ...","2026-02-08T16:23","United States","online news","company","brand","brand_announcement","press_release","corporate_pr","commercial","commercial_signal","none","yes","no","theme_supported","collagen_biostimulation|regenerative_biology","0.77","0.83","19","very_low","low","medical_aesthetics_silver_v1","Domain rule: URL press-release path | No meaningful commercial-intent signals detected | Publication is classified as a press release | No validated research indicators | Press release establishes announcement intent | Intent selected by semantic_override","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""aRuDzivvnFawl5Zt2nBKCTUK5sc""""""","https://www.greenevillesun.com/online_features/press_releases/anua-spotlights-its-newest-pdrn-product-innovation-with-launch-event-in-new-york-city/article_7b3900ac-5d5c-5e5b-b63f-9f9450b16edc.html","The Greeneville Sun","","","","ANUA SPOTLIGHTS ITS NEWEST PDRN PRODUCT INNOVATION WITH LAUNCH EVENT IN NEW YORK CITY","Anua's PDRN Collagen Glow Facial Serum Spray , the newest innovation within the brand's growing PDRN collection. Already recognized in ...","2026-02-08T16:23","United States","online news","company","brand","brand_announcement","press_release","corporate_pr","commercial","commercial_signal","none","yes","no","theme_supported","collagen_biostimulation|regenerative_biology","0.77","0.83","19","very_low","low","medical_aesthetics_silver_v1","Domain rule: URL press-release path | No meaningful commercial-intent signals detected | Publication is classified as a press release | No validated research indicators | Press release establishes announcement intent | Intent selected by semantic_override","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""6iUZQY0ls-OybGqTNStNMOq880g""""""","https://theharleystreetjournal.co.uk/why-patients-now-prefer-long-lasting-low-maintenance-injectables/","THE HARLEY STREET JOURNAL","","","","Why Patients Now Prefer Long-Lasting, Low-Maintenance Injectables","... touch-ups, they are embracing modern injectables that provide a foundation of youthfulness for a year or even longer. The Rise of ...","2026-02-18T03:55","United Kingdom","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.66","0.75","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""4M0FkPZcyCW2jduy1oA3o6OJQyE""""""","https://skinblissmedspa.wordpress.com/2026/04/09/biorepeel-benefits-the-no-downtime-secret-to-radiant-youthful-skin/","wordpress.com","Skin Bliss Med Spa","skin bliss med spa","","BioRePeel Benefits: The No-Downtime Secret to Radiant, Youthful Skin","Introduction In today’s fast-paced world, skincare treatments that deliver visible results without downtime are in high demand. One such breakthrough is BioRePeel—a next-generation chemical peel designed to rejuvenate the skin from within. Known for its ability to improve","2026-04-09T05:58","","blog","company","clinic","unknown","blog_post","clinic_marketing","commercial","noise_or_low_trust","none","yes","no","profile_supported_needs_review","","0.48","0.34","15","very_low","high","medical_aesthetics_silver_v1","Domain rule: wordpress.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""tNyYzW_A4UI5GhHbGYn8-p_j7hU""""""","https://www.jacksoncountysentinel.net/premium/stacker/stories/7-fast-growing-business-trends-in-retail-and-e-commerce,305854","Jackson County Sentinel","Kim Mercado","","","7 fast-growing business trends in retail and e-commerce","... trending now in the Asian beauty realm? Biotech skincare . Consumers want clinic-level ingredients like PDRN, Exosomes and PLLA — plus ...","2026-02-09T15:00","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","theme_supported","regenerative_biology","0.66","0.75","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""XlXT_s4TqLmPAC7yjFw-xPbpZ4g""""""","https://wowwatchers.com/the-art-of-eternal-radiance-guerlain-orchidee-imperiale/","wow watchers","","","","The Art of Eternal Radiance: Guerlain Orchidée Impériale","... orchid’s life mechanisms, the collection works at the root of skin longevity. Each formula combines precision technology with sensorial ...","2026-05-20T09:13","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.66","0.75","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence | Mapped from publication type: news_article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""MUq2T-hoILf98xPne4LVfPCsDOg""""""","http://business.minstercommunitypost.com/minstercommunitypost/article/pressadvantage-2026-1-26-chin-up-aesthetics-serves-atlanta-metro-with-three-medspa-locations","The Community Post","","","","Chin Up! Aesthetics Serves Atlanta Metro with Three Medspa Locations","Chin Up! Aesthetics , a medical spa specializing in aesthetic and cosmetic treatments, currently serves clients from three locations ...","2026-01-26T13:34","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.66","0.75","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""1RERdzD21eLs7TLtSrhYJH-s9Fs""""""","https://ie.pinterest.com/pin/474989091973048618/","Pinterest","Christine Steyn-Stevens","caralienka","","What is Sculptra? ✨ Sculptra is a revolutionary, FDA-approved injectable biostimulator that works by encouraging your skin’s natural collagen production, leading to gradual and long-lasting results. Unlike traditional fillers that inject hyaluronic acid to temporarily plump the skin, Sculptra acts as a biostimulator, meaning it stimulates your body’s own collagen production for more natural, subtle, and enduring enhancements. 🔬 Scientific-Backed Benefits of Sculptra: Collagen Stimulation: ...","What is Sculptra? ✨ Sculptra is a revolutionary, FDA-approved injectable biostimulator that works by encouraging your skin’s natural collagen production, leading to gradual and long-lasting results. Unlike traditional fillers that inject hyaluronic acid to temporarily plump the","2026-03-26T01:43","","social network","other","unknown","unknown","social_post","unknown","unknown","noise_or_low_trust","none","no","no","theme_supported","collagen_biostimulation","0.39","0.29","27","very_low","high","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators | No intent candidate satisfied eligibility requirements","","","","","","","","","","unreviewed_machine_prelabel",""
