"review_order","document_id","source_url","source_name","author_name","author_handle","title","excerpt","published_at","country","platform","theme_ids_silver","silver_source_group","silver_author_identity","silver_communication_intent","silver_publication_archetype","silver_evidence_class","silver_commercial_intent","silver_is_promotional","silver_relevance","ai_review_source_group","ai_review_author_identity","ai_review_communication_intent","ai_review_publication_archetype","ai_review_evidence_class","ai_review_commercial_intent","ai_review_is_promotional","ai_review_relevance","ai_review_disposition","ai_review_confidence","ai_review_reason","review_version","human_author_identity_gold","human_communication_intent_gold","human_publication_archetype_gold","human_evidence_class_gold","human_commercial_intent_gold","human_is_promotional_gold","human_medical_aesthetics_relevance_gold","reviewer_confidence","reviewer_id","adjudication_status","notes"
"11","""""""1771821460000_0JPsKrVoF50ZBlmoaH7nn0zoo3QA""""""","https://twitter.com/supforfot/statuses/2025792148743061756","Twitter","ต้นไม้เป็นพืช","@supforfot","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-22T23:37","Thailand","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"12","""""""1771836275000_rEyuGsjy7pIcGBYss2gZhoOeAXYA""""""","https://twitter.com/KoOKKikkk___/statuses/2025854289261043823","Twitter","Nattawat2people​ 🍑🌻","@kookkikkk___","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-23T03:44","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"13","""""""1771843040000_T4jxZztiNZGsXXtCihaKti_BNkYA""""""","https://twitter.com/SaeMaryam78061/statuses/2025882662251176301","Twitter","Maryam Sae","@saemaryam78061","","#SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ @tawattannn 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้วว่า","2026-02-23T05:37","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"14","""""""1771843920000_5C5qv5xTzaCfzFxNr_3CDYIk98wA""""""","https://twitter.com/m_a_t__27/statuses/2025886354215964899","Twitter","sunshine97☀️","@m_a_t__27","","#SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ @tawattannn 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้วว่า","2026-02-23T05:52","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"15","""""""1771845181000_tpx66Fvt0ks6CGdNdhQ830qY3PQA""""""","https://twitter.com/sapoctber1/statuses/2025891640720982246","Twitter","oct","@sapoctber1","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-23T06:13","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"16","""""""1771848667000_gdNC__o_Ojo69KJ30EhdAvbfrNUA""""""","https://twitter.com/SabaaXll46390/statuses/2025906262932619767","Twitter","Fot fot 4️⃣❤","@sabaaxll46390","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-23T07:11","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"17","""""""1771869919000_zangTfEgKNiIYqB92O_UUgBmc5MA""""""","https://twitter.com/cxivmini/statuses/2025995400088576437","Twitter",". 𝐣𝐩𝐠","@cxivmini","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-23T13:05","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"18","""""""1771974423000_GK3uhQWPv0C-JyxInLEzCgcr3wIA""""""","https://twitter.com/pythagorashel/statuses/2026433721721827523","Twitter","hael ⋆˚☆˖°","@pythagorashel","","RT @lovefdks: facial DNA Salmon ini udah include deep cleansing, gentle exfoliation, sampe serum PDRN + serum DNA Salmon abis itu kulit langsung kerasa halus, bersih, ada instant glow yg keliatan banget. and the best part??? hampir ga ada downtime, jadi bisa lanjut aktivitas.","2026-02-24T18:07","Indonesia","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"19","""""""1772751474000_rbXU3boY0ATnt4C1zg7S10q4iqoA""""""","https://twitter.com/natethe_gr8/statuses/2029692910480851356","Twitter","Nathaniel G.","@natethe_gr8","","collagen + elastin • RCTs show improvement in acne scars and wrinkles 2. Botox • Reduces dynamic wrinkles • Indirect anti-aging effect over time • Prevents repetitive mechanical skin folding • Doesn’t improve skin quality but improves appearance C. SUPPLEMENTS (human trials only)","2026-03-05T17:57","United States","social network","skin_quality_over_volume|collagen_biostimulation","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"20","""""""1773139639000_XIaeoQ8qmDphZOBA-QO44-9BxJcA""""""","https://twitter.com/Yurifufoo/statuses/2031320994544255440","Twitter","Mommy ปูเป้🏡","@yurifufoo","","to the celebration. Beyond the performance, BamBam introduced the innovation behind Srichand’s latest skincare line, the SRICHAND IN-SKIN Phyto Camellia PDRN Series. The collection features Vegan PDRN, a DNA extract derived from 100% natural camellia flowers. Developed using","2026-03-10T06:47","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"21","""""""1773139675000_XwMykatulmv6p8I8erFDw7U8_mcA""""""","https://twitter.com/LuxxLuxx11/statuses/2031321145790837129","Twitter","Luxx Luxx","@luxxluxx11","","to the celebration. Beyond the performance, BamBam introduced the innovation behind Srichand’s latest skincare line, the SRICHAND IN-SKIN Phyto Camellia PDRN Series. The collection features Vegan PDRN, a DNA extract derived from 100% natural camellia flowers. Developed using","2026-03-10T06:47","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"22","""""""1773139886000_B7GxxEZrQOtEudivhZg16s5JlmgA""""""","https://twitter.com/sriparesingham1/statuses/2031322030201778351","Twitter","Got7 BB4","@sriparesingham1","","to the celebration. Beyond the performance, BamBam introduced the innovation behind Srichand’s latest skincare line, the SRICHAND IN-SKIN Phyto Camellia PDRN Series. The collection features Vegan PDRN, a DNA extract derived from 100% natural camellia flowers. Developed using","2026-03-10T06:51","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"23","""""""1774225887000_y2Wr1312umAndKswRW60vqG5FcgA""""""","https://twitter.com/wujaszekLoyo/statuses/2035877046480425155","Twitter","dziad borowy, manure artisan","@wujaszekloyo","","of control: women are massively injecting “salmon sperm” into their faces in hopes of rejuvenation Cosmetologists promise quick results and wrinkle reduction, but in reality many end up with severe swelling that lasts for months. Demand for “salmon sperm” has surged several times","2026-03-22T20:31","Mexico","social network","","other","unknown","unknown","social_quote","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_quote","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"24","""""""1774226178000_TkEemEGTcMR8BYLaJXkAw-0Wf6YA""""""","https://twitter.com/johngar45721/statuses/2035878268231172452","Twitter","Winston Smith","@johngar45721","","of control: women are massively injecting “salmon sperm” into their faces in hopes of rejuvenation Cosmetologists promise quick results and wrinkle reduction, but in reality many end up with severe swelling that lasts for months. Demand for “salmon sperm” has surged several times","2026-03-22T20:36","Australia","social network","","other","unknown","unknown","social_quote","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_quote","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"25","""""""1774449328000_2K3fc_syIEXeNO6d2xBRXeNSGpcA""""""","https://twitter.com/untitled0529/statuses/2036814227412045918","Twitter","TTC•พ่อน้องsoft","@untitled0529","","RT @doranslawyer: doran looking extra round today since hes swollen from skin procedures 🥺 chat are all saying rejuRAN haha 🐿️ my face is swollen everyone~ i went to the skin clinic.. my face has been stung by a bee, its red now isnt it? https://t.co/2vl6DEIyXO","2026-03-25T10:35","Saint Helena","social network","","patient","patient","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"26","""""""1774547064000_Y1fLpIyJdWMmswg-B-Ylohn5vocA""""""","https://x.com/_uacl_/status/2037224161777680575","Twitter","cHoD","@_uacl_","","""RT @skinwitherror: (SR from @fyneofficial ) . ช่วงปีที่ผ่านมา เชื่อว่าหลายคนคงสังเกต การโฆษณาคำว่า """"anti-aging"""" ดรอปลงกว่าก่อนแต่คำว่า """"slow ageing"""" และล่าสุด """"skin longevity"""" เริ่มเพิ่มขึ้นเยอะมาก ๆ . ซึ่งถ้าฟังผ่าน ๆ แนวคิดนี้ก็น่าสนใจ แต่ก็อดสังสัยว่า อันนี้คือการ rebrand""","2026-03-26T13:44","","social network","","other","unknown","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"27","""""""1775738062000_HKfI-jRco7ggUxMmsLSWu4qnEloA""""""","https://x.com/Dadaw08/status/2042219567892594883","Twitter","Andy Almendarez","@dadaw08","","thanks to weightloss, I lost a little bit of volume there. I got Botox in my chin and Frown between my eyes. And I also got a skin booster (not a filler) called Polynucleotides near my tear trough. (eyes). I did a very minimum amount, people who don't know, will not notice I had","2026-04-09T08:34","United States","social network","skin_quality_over_volume|regenerative_biology","patient","patient","unknown","social_repost","unknown","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"28","""""""1777831197000_8xZ3EDHtuC6Nb9V9875gCHYKhsMA""""""","https://x.com/aykutuz/status/2050998814060802388","Twitter","Aykut Uz","@aykutuz","","; afai understand , in that 4 month n=15 study; your team applied (blood?) extracted stem cells’ secreted exosomes via IV; which resulted in 2 years of rejuvenation in dna methylation profiles. (and/or other proxies) . Congratulations. It would be really interesting to see if the","2026-05-03T13:59","","social network","regenerative_biology","other","unknown","unknown","social_reply","unknown","none","no","theme_supported","other","community_member","community_discussion","social_reply","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"29","""""""1778440457000_FKwvF6WPY5v9xTd4cp56Mn_nzdwA""""""","https://x.com/quantnems/status/2053554234839175415","Twitter","Pheni","@quantnems","","catastrophic for an industry built on selling you a 9 step routine forever. so instead they turn skincare into quantum physics. acids. toners. ampoules. peptide stacks. SALMON SPERM meanwhile tretinoin just sits there looking autistic and curing the problem for the price of a","2026-05-10T15:14","","social network","","other","unknown","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"30","""""""1780331458000_uyeeFsA4xZS9BrJn4a6geqvkfvQA""""""","https://x.com/WelloraHealth/status/2061485668921176376","Twitter","Wellora Health","@wellorahealth","","QT @DrsansariOrd: The most likely diagnosis is Pityriasis Rubra Pilaris (PRP). Why PRP? Clinical features: Orange-red (salmon-colored) scaly plaques Generalized rough, dry skin with erythroderma Palmoplantar hyperkeratosis (thick yellow-orange keratoderma of palms and soles)","2026-06-01T12:30","","social network","regenerative_biology","other","unknown","unknown","social_quote","unknown","none","no","theme_supported","other","unknown","unknown","social_quote","unknown","none","no","not_relevant","proposed_correction","high","The matched term is a clear Medical Aesthetics false positive.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
